#Session,ID,Occasion,Detector,Sex
Boland,Partial ID15,1,1E-2.MRNR.Ukyk,NA
Boland,Partial ID14,2,1C-2.Shoek,NA
Boland,BM5,2,1G-2.Sttyn.Lkrans,M
Boland,BM12,2,5A-2.Sbras.quarry,M
Boland,BM12,2,5B-1.Sbras.sand,M
Boland,Partial ID14,3,1C-2.Shoek,NA
Boland,BM14,3,2D-1.Akloof,M
Boland,BM13,3,4B-2.Vgelegen.S,M
Boland,BM15,6,6E-2.Hteq,M
Boland,BF8,7,6A-2.Kberg.kloof,F
Boland,BM14,9,2B-1.Sbos,M
Boland,BM16,11,2E-2.Rbos,M
Boland,BF10,12,1B-2.SPeak,F
Boland,BM17,13,3C-1.Lkop,M
Boland,BM17,13,3C-x.SPass,M
Boland,BM12,13,5A-2.Sbras.quarry,M
Boland,BF10,14,1B-2.SPeak,F
Boland,BM13,15,3B-1.Lford.Gnek,M
Boland,BM31,18,2C-2.Bnek,M
Boland,BF8,18,5B-2.Rview.Wkloof,F
Boland,BM14,19,1B-2.SPeak,M
Boland,BM14,19,2C-1.Lkloof,M
Boland,BM16,19,2E-2.Rbos,M
Boland,BM13,20,2C-2.Bnek,M
Boland,BM14,22,2C-1.Lkloof,M
Boland,BM12,22,7C-2.Pberg,M
Boland,BM5,23,1G-2.Sttyn.Lkrans,M
Boland,BM17,24,4E-2.Gberg.Tfntn,M
Boland,Partial ID12,25,2D-1.Akloof,M
Boland,BF5,28,1G-2.Sttyn.Lkrans,F
Boland,BF8,29,6A-2.Kberg.kloof,F
Boland,BM12,30,5A-2.Sbras.quarry,M
Boland,BF8,30,6A-1.Kberg.basin,F
Boland,BF11,31,2D-1.Akloof,F
Boland,BM17,31,5E-2.Hhoek.Kkraal,M
Boland,BF5,32,1G-2.Sttyn.Lkrans,F
Boland,BF11,32,2D-1.Akloof,F
Boland,BF11,34,2D-1.Akloof,F
Boland,BM16,36,1E-1.Lvlakte,M
Boland,BM13,36,2C-1.Lkloof,M
Boland,BM4,37,1E-2.MRNR.Ukyk,M
Boland,BF11,37,2D-2.Fkloof,F
Boland,BM17,37,4C-2.BPad,M
Boland,BF11,38,2D-1.Akloof,F
Boland,BF12,38,3C-1.Lkop,F
Boland,BM13,39,3B-x.Lford.hut,M
Boland,BM15,39,7D-2.Hklip,M
