#Detector	X	Y	Usage
L1-2.PBlanc	324030.87504	6285371.79799	1111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111100000000
L2-1.TTol.R5	326349.95548	6283777.73448	0000000000000000011111111111111111111111111111111111111111111111111111111111111111111111111111000000000000000000000000000000000000
L2-2.Bkloof	328363.21621	6287155.04015	1111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111
L3-2.LMBtrail	323750.72111	6281606.09199	1111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111
L4-1.Lhof	331625.88195	6283258.16475	1111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111100
L4-2.Wrivier	330714.24949	6279141.17499	1111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111
L5-1.HValley	324527.76549	6274806.88284	1111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111110
L5-2.Krivier	324929.44139	6270191.66835	1111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111
L6-1.Bland	331144.17657	6274333.37941	1111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111
L6-2.Sbeugel	328074.95022	6272762.38696	1111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111
L7-2.JHill	334732.39881	6273087.01232	1111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111
L8-1.DPoort	322490.61882	6268494.91863	1111111100000000000000000000001111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111110000
L8-2.Mpoort	322780.17771	6264080.63258	1111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111
L8-x.Otonneltjie	324589.18548	6265943.33707	0011111111111111111111111111111111111111111111111111111111111111111111111111111111100000000000000000000000000000000000000000000000
L9-1.Fkraal.Gdraai	326723.42924	6263407.52991	1111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111
L9-2.Lklipkop	331754.34577	6266697.82338	1111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111110000000000000000000000000000
L9-x.Wrus	328432.83394	6265326.45819	0011111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111
L10-1.Gevonden	337454.88318	6267663.90668	1111111111111111111111110000000000000000011111111111111111111111111111111111111111111111111111111111111111111111111111111111111111
L10-2.Tstelkloof	336567.12786	6264938.85211	1111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111
L11-1.Lhoek	347245.68012	6265125.57698	1111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111
L11-2.Goudyn	341158.56312	6266067.86053	1111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111
L12-1.Bvlei	352955.37217	6267482.29915	1111111111111111111111111111111111111111111111111011111111111111111111111111111111111111111111111100000000000000000000000000000000
L12-2.Egevonden	349611.34692	6267187.36660	1111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111
L13-1.OGlen	319206.88376	6260600.07534	1111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111110000000000000000000000
L13-2.Zhoek.N	317659.06828	6258022.31926	1111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111
L14-1.ATberg	327245.17190	6259924.81824	1111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111
L14-2.Whoek.Dstein	321678.22593	6257989.65464	1111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111
L15-1.Fkraal.Croad	328778.90270	6262153.37087	1111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111
L15-2.Fkraal.Evlakte	330527.68726	6259099.60106	1111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111
L16-2.Skloof	334907.56798	6255993.91993	1111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111
L17-2.Dberg	345672.57835	6258976.34479	1111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111
L18-1.KBK.Gklip	348272.12288	6257745.82496	1111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111
L18-2.Wberg	349952.49371	6262581.87072	1111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111
L19-2.Zhoek.S	317259.33686	6255203.42372	1111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111
L20-1.LMotte	322247.90424	6250152.56787	1111111111111111111111111111111100000000111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111
L20-2.Whoek.Bkloof	325811.04217	6253760.71142	1111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111
L21-2.Whoek.Ohoek	328675.32943	6252256.31612	1111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111
L21-x.MRNR.Pkop	332843.41002	6250067.49347	0111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111100000000000000000000000000000
L22-1.SGum	340237.38915	6255282.83848	1111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111
L22-2.HNoon.ENest	340353.01273	6249719.62626	1111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111
L23-1.Sttyn.Lkrans	345818.43477	6248722.83166	1111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111100000000000000000
L23-2.Sttyn.boorde	347358.30882	6251220.15273	1111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111
L23-x.Sttyn.berg	344075.14613	6251458.60139	0000111111111111111111111111110000000000000000000000000001111111111111111111111111111111111111111111000000000000000000000000000000
L24-2.KBK.Bpad	348828.21513	6254562.38464	1111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111
