#Session,ID,Occasion,Detector,Sex
Boland,BF1,92,L13-2.Zhoek.N,F
Boland,BF1,35,L14-2.Whoek.Dstein,F
Boland,BF1,80,L14-2.Whoek.Dstein,F
Boland,BF1,64,L19-2.Zhoek.S,F
Boland,BF1,91,L19-2.Zhoek.S,F
Boland,BF1,99,L19-2.Zhoek.S,F
Boland,BF1,3,L20-2.Whoek.Bkloof,F
Boland,BF1,4,L20-2.Whoek.Bkloof,F
Boland,BF1,50,L20-2.Whoek.Bkloof,F
Boland,BF1,79,L20-2.Whoek.Bkloof,F
Boland,BF1,100,L20-2.Whoek.Bkloof,F
Boland,BF1,123,L20-2.Whoek.Bkloof,F
Boland,BF1,126,L20-2.Whoek.Bkloof,F
Boland,BF1,71,L20-2.Whoek.Bkloof,F
Boland,BF10,142,1B-2.SPeak,F
Boland,BF10,144,1B-2.SPeak,F
Boland,BF10,200,1B-2.SPeak,F
Boland,BF10,215,1B-2.SPeak,F
Boland,BF10,241,1B-2.SPeak,F
Boland,BF11,161,2D-1.Akloof,F
Boland,BF11,162,2D-1.Akloof,F
Boland,BF11,164,2D-1.Akloof,F
Boland,BF11,168,2D-1.Akloof,F
Boland,BF11,186,2D-1.Akloof,F
Boland,BF11,210,2D-1.Akloof,F
Boland,BF11,218,2D-1.Akloof,F
Boland,BF11,219,2D-1.Akloof,F
Boland,BF11,230,2D-1.Akloof,F
Boland,BF11,248,2D-1.Akloof,F
Boland,BF11,167,2D-2.Fkloof,F
Boland,BF11,170,2D-2.Fkloof,F
Boland,BF11,171,2D-2.Fkloof,F
Boland,BF11,184,2D-2.Fkloof,F
Boland,BF11,193,2D-2.Fkloof,F
Boland,BF12,217,2C-2.Bnek,F
Boland,BF12,168,3C-1.Lkop,F
Boland,BF12,193,3C-1.Lkop,F
Boland,BF12,208,3C-1.Lkop,F
Boland,BF16,42,L9-x.Wrus,F
Boland,BF2,4,L1-2.PBlanc,F
Boland,BF2,35,L2-1.Ttol.R5,F
Boland,BF2,79,L2-1.Ttol.R5,F
Boland,BF2,89,L2-2.Bkloof,F
Boland,BF2,118,L2-2.Bkloof,F
Boland,BF21,128,L2-2.Bkloof,F
Boland,BF3,109,L20-2.Whoek.Bkloof,F
Boland,BF3,44,L21-2.Whoek.Ohoek,F
Boland,BF3,62,L21-2.Whoek.Ohoek,F
Boland,BF3,103,L21-2.Whoek.Ohoek,F
Boland,BF3,104,L21-2.Whoek.Ohoek,F
Boland,BF3,105,L21-2.Whoek.Ohoek,F
Boland,BF3,106,L21-2.Whoek.Ohoek,F
Boland,BF3,113,L21-2.Whoek.Ohoek,F
Boland,BF5,158,1G-2.Sttyn.Lkrans,F
Boland,BF5,162,1G-2.Sttyn.Lkrans,F
Boland,BF5,83,L18-1.KBK.Gklip,F
Boland,BF5,84,L18-1.KBK.Gklip,F
Boland,BF5,98,L22-1.SGum,F
Boland,BF5,99,L22-1.SGum,F
Boland,BF5,100,L22-1.SGum,F
Boland,BF6,191,6A-1.Kberg.basin,F
Boland,BF6,170,7B-2.Snes,F
Boland,BF6,171,7B-2.Snes,F
Boland,BF7,219,5A-2.Sbras.quarry,F
Boland,BF7,245,5A-2.Sbras.quarry,F
Boland,BF7,260,5A-2.Sbras.quarry,F
Boland,BF7,226,5B-1.Sbras.sand,F
Boland,BF8,148,5B-2.Rview.Wkloof,F
Boland,BF8,185,5B-2.Rview.Wkloof,F
Boland,BF8,223,5B-2.Rview.Wkloof,F
Boland,BF8,160,6A-1.Kberg.basin,F
Boland,BF8,137,6A-2.Kberg.kloof,F
Boland,BF8,159,6A-2.Kberg.kloof,F
Boland,BF8,173,6A-2.Kberg.kloof,F
Boland,BF8,259,6A-2.Kberg.kloof,F
Boland,BF9,173,2B-2.Skloof,F
Boland,BF9,186,3B-1.Lford.Gnek,F
Boland,BF9,213,3B-1.Lford.Gnek,F
Boland,BM1,3,L5-1.HValley,M
Boland,BM1,68,L5-1.HValley,M
Boland,BM1,120,L8-1.DPoort,M
Boland,BM10,118,L10-2.Tstelkloof,M
Boland,BM10,79,L15-1.Fkraal.Croad,M
Boland,BM10,106,L15-1.Fkraal.Croad,M
Boland,BM10,111,L15-1.Fkraal.Croad,M
Boland,BM10,41,L15-2.Fkraal.Evlakte,M
Boland,BM10,74,L15-2.Fkraal.Evlakte,M
Boland,BM10,21,L9-x.Wrus,M
Boland,BM10,59,L9-x.Wrus,M
Boland,BM10,100,L9-x.Wrus,M
Boland,BM11,120,L2-2.Bkloof,M
Boland,BM12,243,4B-1.HKop,M
Boland,BM12,177,4B-x.JEnd.train,M
Boland,BM12,203,4B-x.JEnd.train,M
Boland,BM12,224,4C-2.BPad,M
Boland,BM12,132,5A-2.Sbras.quarry,M
Boland,BM12,143,5A-2.Sbras.quarry,M
Boland,BM12,160,5A-2.Sbras.quarry,M
Boland,BM12,202,5A-2.Sbras.quarry,M
Boland,BM12,240,5A-2.Sbras.quarry,M
Boland,BM12,242,5A-2.Sbras.quarry,M
Boland,BM12,132,5B-1.Sbras.sand,M
Boland,BM12,245,5B-1.Sbras.sand,M
Boland,BM12,210,6A-1.Kberg.basin,M
Boland,BM12,245,6A-1.Kberg.basin,M
Boland,BM12,187,6A-2.Kberg.kloof,M
Boland,BM12,209,6A-2.Kberg.kloof,M
Boland,BM12,258,6A-2.Kberg.kloof,M
Boland,BM12,247,7A-1.Lbos,M
Boland,BM12,189,7B-1.Kberg.trail,M
Boland,BM12,210,7B-1.Kberg.trail,M
Boland,BM12,230,7B-1.Kberg.trail,M
Boland,BM12,260,7C-1.Pvallei,M
Boland,BM12,152,7C-2.Pberg,M
Boland,BM12,192,7C-2.Pberg,M
Boland,BM12,232,7D-2.Hklip,M
Boland,BM13,248,2B-1.Sbos,M
Boland,BM13,231,2B-2.Skloof,M
Boland,BM13,166,2C-1.Lkloof,M
Boland,BM13,182,2C-1.Lkloof,M
Boland,BM13,186,2C-1.Lkloof,M
Boland,BM13,205,2C-1.Lkloof,M
Boland,BM13,214,2C-1.Lkloof,M
Boland,BM13,224,2C-1.Lkloof,M
Boland,BM13,229,2C-1.Lkloof,M
Boland,BM13,246,2C-1.Lkloof,M
Boland,BM13,253,2C-1.Lkloof,M
Boland,BM13,150,2C-2.Bnek,M
Boland,BM13,175,2C-2.Bnek,M
Boland,BM13,184,2C-2.Bnek,M
Boland,BM13,197,2C-2.Bnek,M
Boland,BM13,211,2C-2.Bnek,M
Boland,BM13,223,2C-2.Bnek,M
Boland,BM13,239,2C-2.Bnek,M
Boland,BM13,145,3B-1.Lford.Gnek,M
Boland,BM13,188,3B-1.Lford.Gnek,M
Boland,BM13,257,3B-2.Vgelegen.N,M
Boland,BM13,169,3B-x.Lford.hut,M
Boland,BM13,177,3C-1.Lkop,M
Boland,BM13,192,3C-1.Lkop,M
Boland,BM13,133,4B-2.Vgelegen.S,M
Boland,BM13,220,4B-2.Vgelegen.S,M
Boland,BM14,149,1B-2.SPeak,M
Boland,BM14,200,1B-2.SPeak,M
Boland,BM14,255,1B-2.SPeak,M
Boland,BM14,139,2B-1.Sbos,M
Boland,BM14,229,2B-1.Sbos,M
Boland,BM14,149,2C-1.Lkloof,M
Boland,BM14,152,2C-1.Lkloof,M
Boland,BM14,172,2C-1.Lkloof,M
Boland,BM14,180,2C-1.Lkloof,M
Boland,BM14,200,2C-1.Lkloof,M
Boland,BM14,204,2C-1.Lkloof,M
Boland,BM14,212,2C-1.Lkloof,M
Boland,BM14,228,2C-1.Lkloof,M
Boland,BM14,237,2C-1.Lkloof,M
Boland,BM14,241,2C-1.Lkloof,M
Boland,BM14,200,2C-2.Bnek,M
Boland,BM14,213,2C-2.Bnek,M
Boland,BM14,241,2C-2.Bnek,M
Boland,BM14,133,2D-1.Akloof,M
Boland,BM14,223,2D-1.Akloof,M
Boland,BM14,241,2D-1.Akloof,M
Boland,BM15,136,6E-2.Hteq,M
Boland,BM15,169,7D-2.Hklip,M
Boland,BM16,166,1E-1.Lvlakte,M
Boland,BM16,226,1E-1.Lvlakte,M
Boland,BM16,225,2D-2.Fkloof,M
Boland,BM16,235,2E-1.Mwater,M
Boland,BM16,141,2E-2.Rbos,M
Boland,BM16,149,2E-2.Rbos,M
Boland,BM16,184,2E-2.Rbos,M
Boland,BM16,195,2E-2.Rbos,M
Boland,BM16,212,2E-2.Rbos,M
Boland,BM16,231,2E-2.Rbos,M
Boland,BM16,204,2F-2.SOS,M
Boland,BM17,143,3C-1.Lkop,M
Boland,BM17,143,3C-x.SPass,M
Boland,BM17,230,3C-x.SPass,M
Boland,BM17,227,3D-2.Orchard,M
Boland,BM17,167,4C-2.BPad,M
Boland,BM17,230,4C-2.BPad,M
Boland,BM17,226,4D-1.Gberg.Mara,M
Boland,BM17,213,4D-2.DRust,M
Boland,BM17,226,4D-2.DRust,M
Boland,BM17,247,4D-2.DRust,M
Boland,BM17,252,4D-2.DRust,M
Boland,BM17,255,4D-2.DRust,M
Boland,BM17,154,4E-2.Gberg.Tfntn,M
Boland,BM17,215,4E-2.Gberg.Tfntn,M
Boland,BM17,161,5E-2.Hhoek.Kkraal,M
Boland,BM17,173,5E-2.Hhoek.Kkraal,M
Boland,BM17,179,5E-2.Hhoek.Kkraal,M
Boland,BM17,222,5E-2.Hhoek.Kkraal,M
Boland,BM17,234,5E-2.Hhoek.Kkraal,M
Boland,BM17,212,6E-2.Hteq,M
Boland,BM2,17,L4-2.Wrivier,M
Boland,BM2,34,L4-2.Wrivier,M
Boland,BM2,32,L6-1.Bland,M
Boland,BM2,76,L6-1.Bland,M
Boland,BM2 ,117,L6-2.Sbeugel,M
Boland,BM2 ,129,L6-2.Sbeugel,M
Boland,BM23,98,L2-2.Bkloof,M
Boland,BM23,104,L2-2.Bkloof,M
Boland,BM29,226,2D-1.Akloof,M
Boland,BM3,27,L22-1.SGum,M
Boland,BM3,26,L22-2.Hnoon.ENest,M
Boland,BM3,49,L22-2.Hnoon.ENest,M
Boland,BM3,95,L22-2.Hnoon.ENest,M
Boland,BM3,67,L23-1.Sttyn.Lkrans,M
Boland,BM3,72,L23-2.Sttyn.boorde,M
Boland,BM3,71,L24-2.KBK.Bpad,M
Boland,BM31,148,2C-2.Bnek,M
Boland,BM4,167,1E-2.MRNR.Ukyk,M
Boland,BM4,196,1E-2.MRNR.Ukyk,M
Boland,BM4,43,L13-1.OGlen,M
Boland,BM4,6,L14-2.Whoek.Dstein,M
Boland,BM4,33,L19-2.Zhoek.S,M
Boland,BM4,129,L19-2.Zhoek.S,M
Boland,BM4,73,L20-1.LMotte,M
Boland,BM4,21,L20-2.Whoek.Bkloof,M
Boland,BM4,69,L20-2.Whoek.Bkloof,M
Boland,BM4,85,L20-2.Whoek.Bkloof,M
Boland,BM4,109,L20-2.Whoek.Bkloof,M
Boland,BM4,123,L20-2.Whoek.Bkloof,M
Boland,BM4,22,L21-2.Whoek.Ohoek,M
Boland,BM4,23,L21-2.Whoek.Ohoek,M
Boland,BM4,25,L21-2.Whoek.Ohoek,M
Boland,BM4,46,L21-2.Whoek.Ohoek,M
Boland,BM4,68,L21-2.Whoek.Ohoek,M
Boland,BM4,73,L21-2.Whoek.Ohoek,M
Boland,BM4,80,L21-2.Whoek.Ohoek,M
Boland,BM4,86,L21-2.Whoek.Ohoek,M
Boland,BM4,88,L21-2.Whoek.Ohoek,M
Boland,BM4,91,L21-2.Whoek.Ohoek,M
Boland,BM4,104,L21-2.Whoek.Ohoek,M
Boland,BM4,107,L21-2.Whoek.Ohoek,M
Boland,BM4,119,L21-2.Whoek.Ohoek,M
Boland,BM5,132,1G-2.Sttyn.Lkrans,M
Boland,BM5,153,1G-2.Sttyn.Lkrans,M
Boland,BM5,193,1G-2.Sttyn.Lkrans,M
Boland,BM5,206,1G-2.Sttyn.Lkrans,M
Boland,BM5,207,1G-2.Sttyn.Lkrans,M
Boland,BM5,103,L16-2.Skloof,M
Boland,BM5,91,L17-2.Dberg,M
Boland,BM5,99,L17-2.Dberg,M
Boland,BM5,54,L18-1.KBK.Gklip,M
Boland,BM5,99,L18-1.KBK.Gklip,M
Boland,BM5,7,L22-1.SGum,M
Boland,BM5,21,L22-1.SGum,M
Boland,BM5,31,L22-1.SGum,M
Boland,BM5,95,L22-1.SGum,M
Boland,BM5,70,L22-2.Hnoon.ENest,M
Boland,BM5,93,L22-2.Hnoon.ENest,M
Boland,BM5,97,L22-2.Hnoon.ENest,M
Boland,BM5,128,L22-2.Hnoon.ENest,M
Boland,BM5,102,L23-1.Sttyn.Lkrans,M
Boland,BM5,42,L23-2.Sttyn.boorde,M
Boland,BM5,56,L23-2.Sttyn.boorde,M
Boland,BM5,82,L23-2.Sttyn.boorde,M
Boland,BM5,98,L23-2.Sttyn.boorde,M
Boland,BM5,2,L24-2.KBK.Bpad,M
Boland,BM5,42,L24-2.KBK.Bpad,M
Boland,BM5,54,L24-2.KBK.Bpad,M
Boland,BM6,82,L2-2.Bkloof,M
Boland,BM7,24,L10-1.Gevonden,M
Boland,BM7,1,L12-1.Bvlei,M
Boland,BM7,81,L12-1.Bvlei,M
Boland,BM7,125,L17-2.Dberg,M
Boland,BM7,30,L18-1.KBK.Gklip,M
Boland,BM7,59,L18-1.KBK.Gklip,M
Boland,BM7,90,L18-1.KBK.Gklip,M
Boland,BM7,94,L18-1.KBK.Gklip,M
Boland,BM7,103,L18-1.KBK.Gklip,M
Boland,BM7,107,L18-1.KBK.Gklip,M
Boland,BM7,117,L18-1.KBK.Gklip,M
Boland,BM7,118,L18-1.KBK.Gklip,M
Boland,BM7,128,L18-1.KBK.Gklip,M
Boland,BM7,113,L18-2.Wberg,M
Boland,BM7,84,L24-2.KBK.Bpad,M
Boland,BM7,129,L24-2.KBK.Bpad,M
Boland,BM8,30,L2-1.Ttol.R5,M
Boland,BM8,35,L2-1.Ttol.R5,M
Boland,BM8,77,L2-1.Ttol.R5,M
Boland,BM8,86,L2-1.Ttol.R5,M
Boland,BM8,111,L2-2.Bkloof,M
Boland,BM8,1,L3-2.LMBtrail,M
Boland,BM8,16,L3-2.LMBtrail,M
Boland,BM8,62,L3-2.LMBtrail,M
Boland,BM8,77,L3-2.LMBtrail,M
Boland,BM8,84,L3-2.LMBtrail,M
