#Session,ID,Occasion,Detector,Sex
Boland2,BM12,1,5A-2.Sbras.quarry,M
Boland2,BM12,1,5B-1.Sbras.sand,M
Boland2,BM5,1,1G-2.Sttyn.Lkrans,M
Boland2,BM13,1,4B-2.Vgelegen.S,M
Boland2,BM14,1,2D-1.Akloof,M
Boland2,BM15,1,6E-2.Hteq,M
Boland2,BF8,1,6A-2.Kberg.kloof,F
Boland2,BM14,1,2B-1.Sbos,M
Boland2,BM16,1,2E-2.Rbos,M
Boland2,BF10,1,1B-2.SPeak,F
Boland2,BM12,1,5A-2.Sbras.quarry,M
Boland2,BM17,1,3C-1.Lkop,M
Boland2,BM17,1,3C-x.SPass,M
Boland2,BF10,1,1B-2.SPeak,F
Boland2,BM13,1,3B-1.Lford.Gnek,M
Boland2,BF8,1,5B-2.Rview.Wkloof,F
Boland2,BM31,1,2C-2.Bnek,M
Boland2,BM14,1,1B-2.SPeak,M
Boland2,BM14,1,2C-1.Lkloof,M
Boland2,BM16,1,2E-2.Rbos,M
Boland2,BM13,1,2C-2.Bnek,M
Boland2,BM12,1,7C-2.Pberg,M
Boland2,BM14,1,2C-1.Lkloof,M
Boland2,BM5,1,1G-2.Sttyn.Lkrans,M
Boland2,BM17,1,4E-2.Gberg.Tfntn,M
Boland2,Partial.ID12,1,2D-1.Akloof,M
Boland2,BF5,1,1G-2.Sttyn.Lkrans,F
Boland2,BF8,1,6A-2.Kberg.kloof,F
Boland2,BF8,1,6A-1.Kberg.basin,F
Boland2,BM12,1,5A-2.Sbras.quarry,M
Boland2,BF11,1,2D-1.Akloof,F
Boland2,BM17,1,5E-2.Hhoek.Kkraal,M
Boland2,BF11,1,2D-1.Akloof,F
Boland2,BF5,1,1G-2.Sttyn.Lkrans,F
Boland2,BF11,1,2D-1.Akloof,F
Boland2,BM13,1,2C-1.Lkloof,M
Boland2,BM16,1,1E-1.Lvlakte,M
Boland2,BF11,1,2D-2.Fkloof,F
Boland2,BM17,1,4C-2.BPad,M
Boland2,BM4,1,1E-2.MRNR.Ukyk,M
Boland2,BF11,1,2D-1.Akloof,F
Boland2,BF12,1,3C-1.Lkop,F
Boland2,BM13,1,3B-x.Lford.hut,M
Boland2,BM15,1,7D-2.Hklip,M
Boland2,BF11,1,2D-2.Fkloof,F
Boland2,BF6,1,7B-2.Snes,F
Boland2,BF11,1,2D-2.Fkloof,F
Boland2,BF6,1,7B-2.Snes,F
Boland2,BM14,1,2C-1.Lkloof,M
Boland2,BF8,1,6A-2.Kberg.kloof,F
Boland2,BF9,1,2B-2.Skloof,F
Boland2,BM17,1,5E-2.Hhoek.Kkraal,M
Boland2,Partial.ID3,1,1G-2.Sttyn.Lkrans,F
Boland2,BM13,1,2C-2.Bnek,M
Boland2,BM12,1,4B-x.JEnd.train,M
Boland2,BM13,1,3C-1.Lkop,M
Boland2,BM17,1,5E-2.Hhoek.Kkraal,M
Boland2,BM14,1,2C-1.Lkloof,M
Boland2,BM13,1,2C-1.Lkloof,M
Boland2,BF11,1,2D-2.Fkloof,F
Boland2,BM13,1,2C-2.Bnek,M
Boland2,BM16,1,2E-2.Rbos,M
Boland2,BF8,1,5B-2.Rview.Wkloof,F
Boland2,BF11,1,2D-1.Akloof,F
Boland2,BF9,1,3B-1.Lford.Gnek,F
Boland2,BM13,1,2C-1.Lkloof,M
Boland2,BM12,1,6A-2.Kberg.kloof,M
Boland2,BM13,1,3B-1.Lford.Gnek,M
Boland2,BM12,1,7B-1.Kberg.trail,M
Boland2,BF6,1,6A-1.Kberg.basin,F
Boland2,BM12,1,7C-2.Pberg,M
Boland2,BM13,1,3C-1.Lkop,M
Boland2,BF11,1,2D-2.Fkloof,F
Boland2,BF12,1,3C-1.Lkop,F
Boland2,BM5,1,1G-2.Sttyn.Lkrans,M
Boland2,BM16,1,2E-2.Rbos,M
Boland2,BM4,1,1E-2.MRNR.Ukyk,M
Boland2,BM13,1,2C-2.Bnek,M
Boland2,Partial.ID13,1,3C-x.SPass,M
Boland2,BF10,1,1B-2.SPeak,F
Boland2,BM14,1,1B-2.SPeak,M
Boland2,BM14,1,2C-1.Lkloof,M
Boland2,BM14,1,2C-2.Bnek,M
Boland2,BM12,1,5A-2.Sbras.quarry,M
Boland2,BM12,1,4B-x.JEnd.train,M
Boland2,BM14,1,2C-1.Lkloof,M
Boland2,BM16,1,2F-2.SOS,M
Boland2,BM13,1,2C-1.Lkloof,M
Boland2,BM5,1,1G-2.Sttyn.Lkrans,M
Boland2,BM5,1,1G-2.Sttyn.Lkrans,M
Boland2,BF12,1,3C-1.Lkop,F
Boland2,BM12,1,6A-2.Kberg.kloof,M
Boland2,BF11,1,2D-1.Akloof,F
Boland2,BM12,1,6A-1.Kberg.basin,M
Boland2,BM12,1,7B-1.Kberg.trail,M
Boland2,BM13,1,2C-2.Bnek,M
Boland2,BM14,1,2C-1.Lkloof,M
Boland2,BM16,1,2E-2.Rbos,M
Boland2,BM17,1,6E-2.Hteq,M
Boland2,BF9,1,3B-1.Lford.Gnek,F
