#Session;ID;Occasion;Detector;Sex
Northern;BM7;1;L12-1.Bvlei;M
Northern;BM8;1;L3-2.LMBtrail;M
Northern;BM5;2;L24-2.KBK.Bpad;M
Northern;BF1;3;L20-2.Whoek.Bkloof;F
Northern;BM1;3;L5-1.HValley;M
Northern;BF1;4;L20-2.Whoek.Bkloof;F
Northern;BF2;4;L1-2.PBlanc;F
Northern;BM4;6;L14-2.Whoek.Dstein;M
Northern;BM5;7;L22-1.SGum;M
Northern;BM9;12;L10-1.Gevonden;M
Northern;BM9;14;L10-2.Tstelkloof;M
Northern;BM8;16;L3-2.LMBtrail;M
Northern;BM2;17;L4-2.Wrivier;M
Northern;BM10;21;L9-x.Wrus;M
Northern;BM4;21;L20-2.Whoek.Bkloof;M
Northern;BM5;21;L22-1.SGum;M
Northern;BM4;22;L21-2.Whoek.Ohoek;M
Northern;BM4;23;L21-2.Whoek.Ohoek;M
Northern;BM7;24;L10-1.Gevonden;M
Northern;BM4;25;L21-2.Whoek.Ohoek;M
Northern;BM3;26;L22-2.Hnoon.ENest;M
Northern;BM3;27;L22-1.SGum;M
Northern;BM7;30;L18-1.KBK.Gklip;M
Northern;BM8;30;L2-1.Ttol.R5;M
Northern;Partial.ID1;30;L13-1.OGlen;F
Northern;BM5;31;L22-1.SGum;M
Northern;BM2;32;L6-1.Bland;M
Northern;BM4;33;L19-2.Zhoek.S;M
Northern;BM2;34;L4-2.Wrivier;M
Northern;BF1;35;L14-2.Whoek.Dstein;F
Northern;BF2;35;L2-1.Ttol.R5;F
Northern;BM8;35;L2-1.Ttol.R5;M
Northern;BM10;41;L15-2.Fkraal.Evlakte;M
Northern;BF16;42;L9-x.Wrus;F
Northern;BM5;42;L23-2.Sttyn.boorde;M
Northern;BM5;42;L24-2.KBK.Bpad;M
Northern;BM4;43;L13-1.OGlen;M
Northern;BF3;44;L21-2.Whoek.Ohoek;F
Northern;BM4;46;L21-2.Whoek.Ohoek;M
Northern;BM3;49;L22-2.Hnoon.ENest;M
Northern;BF1;50;L20-2.Whoek.Bkloof;F
Northern;BM8;50;L4-2.Wrivier;M
Northern;Partial.ID2;50;L10-1.Gevonden;F
Northern;BM5;54;L18-1.KBK.Gklip;M
Northern;BM5;54;L24-2.KBK.Bpad;M
Northern;BM9;54;L10-2.Tstelkloof;M
Northern;BM5;56;L23-2.Sttyn.boorde;M
Northern;BM10;59;L9-x.Wrus;M
Northern;BM7;59;L18-1.KBK.Gklip;M
Northern;BF3;62;L21-2.Whoek.Ohoek;F
Northern;BM8;62;L3-2.LMBtrail;M
Northern;Partial.ID3;63;L23-1.Sttyn.Lkrans;F
Northern;BF1;64;L19-2.Zhoek.S;F
Northern;BM3;67;L23-1.Sttyn.Lkrans;M
Northern;BM1;68;L5-1.HValley;M
Northern;BM4;68;L21-2.Whoek.Ohoek;M
Northern;BM4;69;L20-2.Whoek.Bkloof;M
Northern;BM5;70;L22-2.Hnoon.ENest;M
Northern;BF1;71;L20-2.Whoek.Bkloof;F
Northern;BM3;71;L24-2.KBK.Bpad;M
Northern;BM3;72;L23-2.Sttyn.boorde;M
Northern;BM4;73;L20-1.LMotte;M
Northern;BM4;73;L21-2.Whoek.Ohoek;M
Northern;BM10;74;L15-2.Fkraal.Evlakte;M
Northern;BM2;76;L6-1.Bland;M
Northern;BM8;77;L2-1.Ttol.R5;M
Northern;BM8;77;L3-2.LMBtrail;M
Northern;BF1;79;L20-2.Whoek.Bkloof;F
Northern;BF2;79;L2-1.Ttol.R5;F
Northern;BM10;79;L15-1.Fkraal.Croad;M
Northern;BF1;80;L14-2.Whoek.Dstein;F
Northern;BM4;80;L21-2.Whoek.Ohoek;M
Northern;BM7;81;L12-1.Bvlei;M
Northern;BM5;82;L23-2.Sttyn.boorde;M
Northern;BM6;82;L2-2.Bkloof;M
Northern;BM9;82;L10-2.Tstelkloof;M
Northern;BF5;83;L18-1.KBK.Gklip;F
Northern;BF5;84;L18-1.KBK.Gklip;F
Northern;BM7;84;L24-2.KBK.Bpad;M
Northern;BM8;84;L3-2.LMBtrail;M
Northern;BM4;85;L20-2.Whoek.Bkloof;M
Northern;BM4;86;L21-2.Whoek.Ohoek;M
Northern;BM8;86;L2-1.Ttol.R5;M
Northern;BM4;88;L21-2.Whoek.Ohoek;M
Northern;BF2;89;L2-2.Bkloof;F
Northern;BM7;90;L18-1.KBK.Gklip;M
Northern;BF1;91;L19-2.Zhoek.S;F
Northern;BM4;91;L21-2.Whoek.Ohoek;M
Northern;BM5;91;L17-2.Dberg;M
Northern;BF1;92;L13-2.Zhoek.N;F
Northern;BM5;93;L22-2.Hnoon.ENest;M
Northern;BM7;94;L18-1.KBK.Gklip;M
Northern;BM3;95;L22-2.Hnoon.ENest;M
Northern;BM5;95;L22-1.SGum;M
Northern;BM5;97;L22-2.Hnoon.ENest;M
Northern;BF5;98;L22-1.SGum;F
Northern;BM23;98;L2-2.Bkloof;M
Northern;BM5;98;L23-2.Sttyn.boorde;M
Northern;BF1;99;L19-2.Zhoek.S;F
Northern;BF5;99;L22-1.SGum;F
Northern;BM5;99;L17-2.Dberg;M
Northern;BM5;99;L18-1.KBK.Gklip;M
Northern;BF1;100;L20-2.Whoek.Bkloof;F
Northern;BF5;100;L22-1.SGum;F
Northern;BM10;100;L9-x.Wrus;M
Northern;Partial.ID3;100;L23-1.Sttyn.Lkrans;F
