X_COORD,Y_COORD,HABITAT
321258,6308909,1
321758,6308909,1
322258,6308909,1
322758,6308909,1
323258,6308909,1
323758,6308909,1
324258,6308909,1
319258,6308409,1
319758,6308409,1
320258,6308409,1
320758,6308409,1
321258,6308409,1
321758,6308409,1
322258,6308409,1
322758,6308409,1
323258,6308409,1
323758,6308409,1
324258,6308409,1
319258,6307909,1
319758,6307909,1
320258,6307909,1
320758,6307909,1
321258,6307909,1
321758,6307909,1
322258,6307909,1
322758,6307909,1
323258,6307909,1
323758,6307909,1
324258,6307909,1
324758,6307909,1
319258,6307409,1
319758,6307409,1
320258,6307409,1
320758,6307409,1
321258,6307409,1
321758,6307409,1
322258,6307409,1
322758,6307409,1
323258,6307409,1
323758,6307409,1
324258,6307409,1
324758,6307409,1
325258,6307409,1
319258,6306909,1
319758,6306909,1
320258,6306909,1
320758,6306909,1
321258,6306909,1
321758,6306909,1
322258,6306909,1
322758,6306909,1
323258,6306909,1
323758,6306909,1
324258,6306909,1
324758,6306909,1
325258,6306909,1
319758,6306409,1
320258,6306409,1
320758,6306409,1
321258,6306409,1
321758,6306409,1
322258,6306409,1
322758,6306409,1
323258,6306409,1
323758,6306409,1
324258,6306409,1
324758,6306409,1
325258,6306409,1
325758,6306409,1
334758,6306409,1
335258,6306409,1
319758,6305909,1
320258,6305909,1
320758,6305909,1
321258,6305909,1
321758,6305909,1
322258,6305909,1
322758,6305909,1
323258,6305909,1
323758,6305909,1
324258,6305909,1
324758,6305909,1
325258,6305909,1
325758,6305909,1
326258,6305909,1
334258,6305909,1
334758,6305909,1
335258,6305909,1
335758,6305909,1
336258,6305909,1
319758,6305409,1
320258,6305409,1
320758,6305409,1
321258,6305409,1
321758,6305409,1
322258,6305409,1
322758,6305409,1
323258,6305409,1
323758,6305409,1
324258,6305409,1
324758,6305409,1
325258,6305409,1
325758,6305409,1
326258,6305409,1
326758,6305409,1
334758,6305409,1
335258,6305409,1
335758,6305409,1
336258,6305409,1
336758,6305409,1
319758,6304909,1
320258,6304909,1
320758,6304909,1
321258,6304909,1
321758,6304909,1
322258,6304909,1
322758,6304909,1
323258,6304909,1
323758,6304909,1
324258,6304909,1
324758,6304909,1
325258,6304909,1
325758,6304909,1
326258,6304909,1
326758,6304909,1
334758,6304909,1
335258,6304909,1
335758,6304909,1
336258,6304909,1
336758,6304909,1
337258,6304909,1
319758,6304409,1
320258,6304409,1
320758,6304409,1
321258,6304409,1
321758,6304409,1
